username,hsp,wrp,wins,losses,matches,kd,kills,deaths,kpm,cheater
Zyn.._.,0.466,0.49400002,679,664,1374,0.92,5051,5496,3.68,false
Jxice.,0.458,0.498,1156,1143,2323,1.13,11927,10578,5.13,false
Calderas.,0.404,0.50200003,1498,1459,2983,0.8,11177,14001,3.75,false
zeoMasacre,0.38799998,0.504,1400,1360,2780,1.09,11356,10459,4.08,false
Z2Ash.,0.45099998,0.499,1245,1164,2493,0.99,9854,9945,3.95,false
MiniBlazer43,0.425,0.533,1231,1032,2308,1.22,11237,9197,4.87,false
Blazer7mm.,0.465,0.525,781,687,1488,0.89,5807,6554,3.9,false
AKUMA.RZ,0.35900003,0.493,2512,2469,5097,0.93,19151,20610,3.76,false
Diabolos.RZ,0.41,0.493,3964,3974,8040,1.05,35281,33700,4.39,false
DDomer03,0.312,0.49,24,24,49,0.65,120,186,2.45,false
Jedihunter22,0.501,0.479,2409,2100,5032,1.27,18066,14204,3.59,false
Whatsite.7S,0.466,0.482,625,575,1297,1.2,5577,4649,4.3,false
FiveNitesAtJays,0.412,0.482,837,863,1736,1.01,6637,6539,3.82,false
janglesbone,0.511,0.496,792,789,1598,0.86,6486,7579,4.06,false
zcantaim,0.47,0.501,650,623,1297,1.06,6398,6055,4.93,false
LalaAtsui,0.511,0.508,774,743,1525,1.01,6419,6374,4.21,false
